X,dXdt,Phi,Temp_K,,,,
0.99854175,5.0993187E+01,5.000000 ,542.051175,,,,
0.99863601,5.3866827E+01,5.000000 ,541.901178,,,,
0.99873601,5.6328310E+01,5.000000 ,541.75118,,,,
0.99883647,5.5589615E+01,5.000000 ,541.601174,,,,
0.9989327,5.0744539E+01,5.000000 ,541.451158,,,,
2.71E-06,2.1358168E+00,10.000000 ,597.804814,,,,
5.02E-06,2.9957399E+00,10.000000 ,597.654786,,,,
1.21E-05,4.5987378E+00,10.000000 ,597.354729,,,,
1.66E-05,5.3050614E+00,10.000000 ,597.204701,,,,
2.17E-05,6.1601802E+00,10.000000 ,597.054673,,,,
3.46E-05,7.8672793E+00,10.000000 ,596.754616,,,,
4.21E-05,8.7577762E+00,10.000000 ,596.604588,,,,
5.05E-05,9.9125937E+00,10.000000 ,596.454561,,,,
8.16E-05,1.3288365E+01,10.000000 ,596.004479,,,,
9.42E-05,1.4436622E+01,10.000000 ,595.854452,,,,
1.23E-04,1.7030931E+01,10.000000 ,595.554398,,,,
1.39E-04,1.8478802E+01,10.000000 ,595.404371,,,,
1.56E-04,1.9959865E+01,10.000000 ,595.254345,,,,
1.95E-04,2.3300586E+01,10.000000 ,594.954293,,,,
2.17E-04,2.4853832E+01,10.000000 ,594.804267,,,,
2.40E-04,2.7007164E+01,10.000000 ,594.654243,,,,
3.24E-04,3.5236912E+01,10.000000 ,594.204173,,,,
3.57E-04,3.8326692E+01,10.000000 ,594.054151,,,,
4.31E-04,4.4312479E+01,10.000000 ,593.754107,,,,
4.73E-04,4.7023212E+01,10.000000 ,593.604084,,,,
5.16E-04,4.9728674E+01,10.000000 ,593.454061,,,,
6.10E-04,5.4949543E+01,10.000000 ,593.154014,,,,
6.61E-04,5.7160393E+01,10.000000 ,593.00399,,,,
7.13E-04,5.9037624E+01,10.000000 ,592.853965,,,,
8.79E-04,6.3516942E+01,10.000000 ,592.403887,,,,
9.37E-04,6.4971400E+01,10.000000 ,592.253861,,,,
0.00105627,6.7237194E+01,10.000000 ,591.953807,,,,
0.00111747,6.8611712E+01,10.000000 ,591.803781,,,,
0.00117983,6.9683803E+01,10.000000 ,591.653754,,,,
0.0013062,7.0586833E+01,10.000000 ,591.353697,,,,
0.00136985,7.0832372E+01,10.000000 ,591.203668,,,,
0.00143377,7.1186418E+01,10.000000 ,591.053639,,,,
0.00163007,7.4269958E+01,10.000000 ,590.603558,,,,
0.00169745,7.5371760E+01,10.000000 ,590.453531,,,,
0.00183515,7.7607352E+01,10.000000 ,590.153478,,,,
0.00190571,7.9076904E+01,10.000000 ,590.003452,,,,
0.0019778,8.0905847E+01,10.000000 ,589.843426,,,,
0.00212539,8.3068960E+01,10.000000 ,589.553374,,,,
0.00220081,8.4381918E+01,10.000000 ,589.403348,,,,
0.00227725,8.5322765E+01,10.000000 ,589.253321,,,,
0.00251272,8.8660797E+01,10.000000 ,588.803241,,,,
0.00259293,8.9518473E+01,10.000000 ,588.653214,,,,
2.76E-03,9.1257700E+01,10.000000 ,588.343159,,,,
2.84E-03,9.1488053E+01,10.000000 ,588.203131,,,,
2.92E-03,9.2855598E+01,10.000000 ,588.043104,,,,
3.09E-03,9.4871206E+01,10.000000 ,587.753052,,,,
3.18E-03,9.5945788E+01,10.000000 ,587.603025,,,,
3.26E-03,9.6796852E+01,10.000000 ,587.452999,,,,
3.53E-03,9.9181512E+01,10.000000 ,587.002917,,,,
3.62E-03,1.0017702E+02,10.000000 ,586.852891,,,,
3.80E-03,1.0297813E+02,10.000000 ,586.552839,,,,
3.89E-03,1.0478915E+02,10.000000 ,586.402815,,,,
3.99E-03,1.0671064E+02,10.000000 ,586.252791,,,,
4.18E-03,1.1090407E+02,10.000000 ,585.942742,,,,
4.28E-03,1.1246070E+02,10.000000 ,585.802718,,,,
4.39E-03,1.1488114E+02,10.000000 ,585.642694,,,,
4.70E-03,1.2014534E+02,10.000000 ,585.202622,,,,
4.81E-03,1.2156520E+02,10.000000 ,585.052597,,,,
5.04E-03,1.2485187E+02,10.000000 ,584.752547,,,,
5.15E-03,1.2656638E+02,10.000000 ,584.602523,,,,
5.26E-03,1.2832167E+02,10.000000 ,584.452498,,,,
5.50E-03,1.3256344E+02,10.000000 ,584.152452,,,,
5.62E-03,1.3453267E+02,10.000000 ,584.002428,,,,
5.74E-03,1.3664717E+02,10.000000 ,583.852405,,,,
6.12E-03,1.4600352E+02,10.000000 ,583.402342,,,,
6.25E-03,1.4960371E+02,10.000000 ,583.252323,,,,
6.53E-03,1.5660539E+02,10.000000 ,582.952283,,,,
6.67E-03,1.6094241E+02,10.000000 ,582.802266,,,,
6.82E-03,1.6587423E+02,10.000000 ,582.65225,,,,
7.13E-03,1.7761949E+02,10.000000 ,582.352222,,,,
7.29E-03,1.8390330E+02,10.000000 ,582.192209,,,,
7.46E-03,1.9027297E+02,10.000000 ,582.042196,,,,
8.00E-03,2.1240768E+02,10.000000 ,581.592168,,,,
0.00819576,2.2218570E+02,10.000000 ,581.442164,,,,
0.00861513,2.4443602E+02,10.000000 ,581.142164,,,,
0.00884043,2.5635801E+02,10.000000 ,580.992166,,,,
